city,country,weather_code,date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
London,United Kingdom,3,2026-07-06,32.1,18.7,0.0,21.6
London,United Kingdom,3,2026-07-07,31.2,19.6,0.0,16.2
London,United Kingdom,1,2026-07-08,29.7,20.4,0.0,14.0
London,United Kingdom,3,2026-07-09,30.5,22.9,0.0,16.6
London,United Kingdom,3,2026-07-10,30.6,21.4,0.0,17.6
London,United Kingdom,3,2026-07-11,30.5,21.2,0.0,17.6
London,United Kingdom,3,2026-07-12,26.2,17.0,0.0,22.0
New York,United States,65,2026-07-06,21.9,18.5,55.2,24.3
New York,United States,53,2026-07-07,22.4,18.0,1.4,23.3
New York,United States,3,2026-07-08,25.2,16.5,0.0,18.5
New York,United States,95,2026-07-09,26.9,21.5,11.6,18.4
New York,United States,80,2026-07-10,28.6,22.1,2.8,19.3
New York,United States,3,2026-07-11,28.1,21.7,0.0,14.8
New York,United States,3,2026-07-12,26.8,21.6,0.0,19.8
Tokyo,Japan,3,2026-07-07,24.0,19.7,0.0,4.3
Tokyo,Japan,2,2026-07-08,27.1,20.1,0.0,5.1
Tokyo,Japan,1,2026-07-09,28.6,21.1,0.0,6.5
Tokyo,Japan,51,2026-07-10,29.0,21.9,0.4,10.6
Tokyo,Japan,51,2026-07-11,29.0,22.7,0.3,10.1
Tokyo,Japan,3,2026-07-12,29.1,23.2,0.0,9.4
Tokyo,Japan,95,2026-07-13,29.1,23.0,11.4,10.0
Sydney,Australia,53,2026-07-07,15.7,11.2,5.4,24.0
Sydney,Australia,53,2026-07-08,15.5,11.2,2.7,17.5
Sydney,Australia,80,2026-07-09,15.2,10.8,7.6,13.6
Sydney,Australia,53,2026-07-10,14.7,8.0,2.1,10.6
Sydney,Australia,3,2026-07-11,17.4,7.4,0.0,14.4
Sydney,Australia,51,2026-07-12,15.2,8.7,0.6,24.7
Sydney,Australia,0,2026-07-13,16.7,8.5,0.0,14.8
Dubai,United Arab Emirates,0,2026-07-06,41.0,28.4,0.0,27.5
Dubai,United Arab Emirates,0,2026-07-07,40.7,29.4,0.0,21.6
Dubai,United Arab Emirates,0,2026-07-08,41.7,28.7,0.0,21.0
Dubai,United Arab Emirates,3,2026-07-09,41.4,30.2,0.0,23.9
Dubai,United Arab Emirates,2,2026-07-10,40.8,29.9,0.0,24.6
Dubai,United Arab Emirates,0,2026-07-11,41.0,29.5,0.0,26.0
Dubai,United Arab Emirates,1,2026-07-12,40.0,29.5,0.0,19.9
Paris,France,3,2026-07-06,34.1,18.8,0.0,12.3
Paris,France,3,2026-07-07,35.2,23.0,0.0,17.1
Paris,France,2,2026-07-08,33.4,21.3,0.0,10.5
Paris,France,1,2026-07-09,34.7,22.3,0.0,11.2
Paris,France,3,2026-07-10,36.5,23.3,0.0,10.2
Paris,France,2,2026-07-11,35.2,23.4,0.0,16.5
Paris,France,1,2026-07-12,34.9,21.8,0.0,17.8
Mumbai,India,96,2026-07-06,27.3,26.1,152.1,34.6
Mumbai,India,96,2026-07-07,27.4,25.9,166.4,28.8
Mumbai,India,96,2026-07-08,29.7,25.8,37.8,23.2
Mumbai,India,95,2026-07-09,29.4,27.5,2.5,24.0
Mumbai,India,95,2026-07-10,29.7,27.3,4.2,21.6
Mumbai,India,95,2026-07-11,29.4,27.2,4.8,23.3
Mumbai,India,95,2026-07-12,29.7,27.6,6.6,23.1
São Paulo,Brazil,3,2026-07-06,23.9,12.6,0.0,13.7
São Paulo,Brazil,53,2026-07-07,21.9,13.4,2.5,16.7
São Paulo,Brazil,3,2026-07-08,19.9,12.3,0.0,6.1
São Paulo,Brazil,3,2026-07-09,22.1,10.5,0.0,7.2
São Paulo,Brazil,1,2026-07-10,24.9,10.6,0.0,10.9
São Paulo,Brazil,3,2026-07-11,19.8,14.4,0.0,7.3
São Paulo,Brazil,95,2026-07-12,23.7,13.9,13.0,16.0
Toronto,Canada,3,2026-07-06,25.7,17.6,0.0,20.7
Toronto,Canada,3,2026-07-07,26.7,18.7,0.0,17.2
Toronto,Canada,3,2026-07-08,29.2,17.4,0.0,12.3
Toronto,Canada,95,2026-07-09,29.3,19.9,2.8,22.1
Toronto,Canada,80,2026-07-10,28.7,19.2,1.8,14.0
Toronto,Canada,3,2026-07-11,26.4,19.6,0.0,20.6
Toronto,Canada,51,2026-07-12,29.6,18.3,0.6,11.9
